,text,blockInfo
0,"I= Eedi
A
Ⓒ Eedi 2018
""If you multiply a square number by 9, you get a
square number""
always true
Is this statement...
B
sometimes
true
(
never true
D
Impossible to
say","[[48.0, 20.0], [92.5, 332.0], [41.0, 465.0], [319.5, 104.5], [92.5, 390.5], [319.5, 168.5], [242.5, 332.0], [242.0, 404.5], [392.0, 334.5], [388.0, 390.5], [540.0, 332.5], [542.0, 402.5]]"
1,"I= Eedi
Ⓒ Eedi 2018
A
2
24
How much bigger is than?
B
2
GIN
5
1
24
D
4
11","[[48.0, 20.0], [41.0, 465.0], [93.0, 283.0], [97.0, 348.5], [319.5, 137.0], [242.5, 283.0], [244.0, 335.5], [243.0, 353.5], [243.5, 366.5], [399.0, 349.0], [541.0, 282.5], [544.0, 348.5]]"
2,"I= Eedi
A 2× (-2)(-4) × 4
C
Which calculation is equal to -20?
Ⓒ Eedi 2018
(-5)² +5
B
D
-28 (-4) x 2
-
(-42) (-2) + 1
VA","[[48.0, 20.0], [174.5, 218.5], [62.5, 349.5], [323.5, 111.5], [41.0, 465.0], [160.0, 348.5], [391.0, 218.0], [391.0, 349.5], [510.0, 223.0], [485.0, 223.0], [520.0, 354.0], [619.0, 21.0]]"
3,"I= Eedi
Ⓒ Eedi 2018
A
9
What number belongs in the box?
B
-5
+ 7 = 2
O
-6
D
5
VA","[[48.0, 20.0], [41.0, 465.0], [93.5, 349.5], [91.0, 410.0], [331.0, 151.0], [242.0, 349.0], [232.5, 405.0], [371.0, 217.5], [391.5, 350.5], [386.5, 409.0], [540.5, 349.5], [541.0, 405.5], [619.0, 21.0]]"
4,"I= Eedi
A
ABCD is a trapezium where AB is parallel to CD.
Angle ABC is a right angle.
Which sketch below is correctly marked?
ⒸEedi 2018
D
B
C
A
B
A
C
D
B
D
D
C
A
B
+
+
B
C
A
D
PA","[[50.0, 20.0], [41.5, 286.5], [271.5, 115.5], [42.5, 460.5], [98.5, 301.5], [108.0, 345.5], [105.0, 415.0], [134.5, 246.5], [225.0, 246.5], [225.0, 344.0], [264.5, 306.0], [282.5, 411.5], [360.5, 286.0], [361.0, 385.0], [399.0, 411.0], [416.0, 305.0], [447.0, 347.5], [472.0, 240.5], [480.0, 356.5], [495.5, 411.5], [567.5, 346.5], [570.0, 414.0], [596.5, 247.5], [594.0, 302.5], [618.5, 23.0]]"
5,"I= Eedi
The area of this
parallelogram is
96 cm²
What is the value
of m?
Ⓒ Eedi 2018
A
84
B
16
m cm
8
12 cm
D
Not enough
information
VA","[[48.5, 20.5], [137.0, 107.0], [135.0, 198.0], [41.0, 465.0], [93.0, 326.0], [91.5, 378.5], [242.0, 326.0], [239.0, 378.5], [335.5, 156.5], [391.0, 379.0], [432.5, 230.5], [540.0, 326.5], [540.0, 390.5], [619.0, 21.0]]"
6,"I= Eedi
Ⓒ Eedi 2018
A
Only
Tom
Tom says: 7 x (2+3)= 7x2+3
Katie says: 7 x (2+3) = 7x2+7x3
B
Who is correct?
Only
Katie
Both Tom
and Katie
D
Neither is
correct","[[48.0, 20.0], [41.0, 465.0], [92.5, 327.0], [93.0, 391.0], [326.0, 138.0], [242.0, 328.0], [325.5, 215.5], [242.5, 392.0], [393.5, 392.0], [540.0, 327.5], [545.0, 391.0]]"
7,"I= Eedi
Here is the completed
Venn diagram.
What calculation
works out the highest
common factor of 36
and 90?
A
2x2x3x3x3x5
Ⓒ Eedi 2018
B
2 x 3
Prime factors of 36
2
3
3
2x3x3x5
Prime factors of 90
5
3
D
2x3x5
DA","[[48.0, 20.0], [135.5, 110.0], [136.5, 212.5], [94.0, 360.0], [103.0, 413.0], [41.0, 465.0], [242.5, 360.0], [245.5, 411.5], [362.0, 79.5], [350.0, 161.0], [380.0, 193.0], [446.5, 193.5], [391.5, 412.0], [531.5, 80.0], [534.0, 142.0], [546.0, 186.0], [540.5, 359.5], [540.0, 411.0], [618.0, 20.5]]"
8,"I= Eedi
If you can connect dots to draw a regular hexagon in
a ring of equally spaced dots, which other regular
shape can you definitely draw?
© 2018
A
Equilateral
triangle
B
Scalene triangle
C
Square
D
Pentagon
DH","[[23.0, 10.5], [159.5, 65.0], [19.5, 232.5], [47.0, 141.0], [48.0, 181.5], [121.0, 141.0], [123.5, 175.5], [196.5, 141.5], [196.0, 174.0], [270.0, 141.0], [270.0, 175.0], [309.5, 9.5]]"
9,"I= Eedi
What is the area
of the
parallelogram?
A
150 cm²
Ⓒ Eedi 2018
B
50 cm²
10 cm
5 cm
30 cm²
3 cm
D
15 cm²
[not to scale]","[[48.0, 21.0], [134.5, 148.0], [93.5, 327.0], [90.0, 377.0], [41.0, 465.0], [242.0, 326.0], [239.0, 378.0], [361.0, 132.5], [356.5, 253.5], [390.5, 376.0], [465.0, 121.5], [540.0, 326.5], [539.5, 376.5], [604.5, 59.0]]"
10,"I= Eedi
(-4,-2)
(-4,-5)
Ⓒ Eedi 2018
(2,-2)
(2,-5)
What is the equation of
this line of symmetry?
A
B
D
y = -3.5
y = -7
购
y = -2
Not possible
to work out","[[47.5, 19.5], [58.0, 181.5], [55.0, 302.0], [41.5, 463.0], [346.0, 182.0], [355.5, 301.0], [519.25, 78.0], [462.0, 163.5], [461.0, 240.0], [463.0, 403.5], [544.0, 160.0], [536.0, 237.5], [617.5, 22.0], [535.0, 317.0], [554.0, 404.0]]"
11,"IE Eedi
9Edi2018
=2x=8+ =2}x{ 5 ==2}x + = }
A
-8
5
-6
What belongs in the boxes?
B
-8
5
6
ܗ
8
5
-6
D
8
-5
-6
[","[[48.5, 20.5], [41.0, 465.0], [310.5, 103.5], [126.5, 291.0], [121.5, 375.5], [317.5, 190.0], [268.5, 291.0], [268.0, 375.0], [391.5, 290.0], [393.5, 376.5], [517.5, 290.5], [519.0, 376.5], [618.0, 21.5]]"
12,"I= Eedi
Ⓒ Eedi 2018
A
Only
Tom
Tom and Katie are arguing about triangles.
Tom says a triangle can have two right angles.
Katie says only a scalene triangle can have a right angle.
B
Only
Katie
Who is correct?
C
Both Tom
and Katie
D
Neither is
correct","[[48.5, 21.0], [41.0, 465.0], [93.0, 332.0], [93.0, 396.0], [323.0, 153.0], [242.0, 332.0], [242.5, 397.0], [322.5, 243.0], [392.5, 333.5], [400.0, 395.5], [540.0, 332.5], [545.5, 396.0]]"
13,"I= Eedi
What is the area
of this shape?
Ⓒ Eedi 2018
A
3
B
8
20
D
4
VA","[[48.5, 20.0], [134.0, 148.0], [41.0, 465.0], [93.0, 327.0], [90.5, 378.5], [242.0, 325.5], [241.0, 379.0], [390.5, 378.5], [540.0, 326.5], [546.5, 377.5], [619.0, 21.5]]"
14,"I= Eedi
What is the size of the
missing angle, k, on the
larger triangle?
Ⓒ Eedi 2018
A
60°
B
120°
45°
60°
8 cm
75°
30°
cm
4
75° 45°
k
D
[not to scale]
Not enough
information","[[48.0, 20.0], [141.0, 168.5], [41.0, 465.0], [96.5, 350.0], [92.0, 397.0], [246.0, 350.0], [243.5, 397.5], [287.5, 241.0], [369.0, 113.5], [344.5, 271.5], [404.5, 239.5], [395.5, 397.5], [512.0, 89.5], [505.0, 103.5], [495.5, 155.0], [544.0, 350.5], [602.5, 62.0], [548.0, 407.5]]"
15,"I= Eedi
Ⓒ Eedi 2018
A
V
What sign would make this statement true?
B
V
46
?
10
15
||
D
22
VA","[[48.0, 20.0], [41.0, 465.0], [93.0, 283.0], [95.5, 337.5], [338.0, 90.5], [242.5, 283.0], [240.0, 335.0], [284.5, 166.0], [321.5, 169.5], [358.0, 169.5], [389.5, 336.5], [540.5, 282.5], [543.0, 335.0], [619.0, 21.0]]"
16,"I= Eedi
Ⓒ Eedi 2018
A
48
A common multiple of 4 and 6 is...
B
28
2
They do not have
a common
multiple","[[48.0, 20.0], [41.0, 465.0], [93.0, 283.0], [88.0, 352.5], [319.0, 130.5], [242.5, 282.0], [243.0, 352.0], [391.5, 347.0], [542.0, 374.5]]"
17,"I= Eedi
Ⓒ Eedi 2018
A
5
2
D
B
C
KX1
This triangle is
reflected in the line
y = x
Which point is a
reflection of the red
point?
D","[[48.5, 20.5], [41.0, 465.0], [83.5, 404.0], [109.0, 101.5], [108.5, 219.5], [159.5, 170.5], [226.0, 404.0], [370.0, 406.5], [607.5, 21.5], [514.5, 130.0], [514.5, 231.0], [513.0, 406.5]]"
18,"I= Eedi
A
C
Ⓒ Eedi 2018
(-12) × (-9) = 2 × (-6) × (-9)
true because of
associativity
true because of
distributivity
Is this...
B
D
true because of
commutativity
false
PA","[[48.0, 20.0], [61.5, 219.5], [62.0, 350.5], [41.0, 465.0], [311.0, 86.0], [175.0, 220.0], [175.0, 353.0], [319.0, 143.5], [392.0, 218.0], [392.5, 349.5], [494.0, 220.0], [450.5, 353.0], [619.0, 21.0]]"
19,"I= Eedi
Ⓒ Eedi 2018
A
C
Starting
number
4-2 x3
(4-2 x 3) = 6
Answer
How would this calculation be written?
(4-2) x 3 = 6
36
B
D
4-2 x 3 = 6
4- (2 x 3) = 6","[[48.5, 20.0], [41.0, 465.0], [85.0, 268.0], [84.5, 389.0], [226.5, 88.0], [282.0, 123.0], [196.5, 270.5], [387.5, 91.5], [319.0, 207.0], [202.0, 394.5], [366.0, 123.0], [365.0, 269.0], [365.5, 389.0], [478.0, 271.5], [480.0, 391.0]]"
